S No,Website,Active Voice ,Passive Voice,
1135,,She has done her work.,Her work has been done by her.,
1136,,Carry it home.,Let it be carried home.,
1137,,Do not pluck the flowers.,Let the flowers not be plucked.,
1138,,The boy made a kite.,A kite was made by the boy.,
1139,,The sudden noise frightened the dog.,The dog was frightened by the sudden noise.,
1140,,Edison invented the light bulb.,The light bulb was invented by Edison.,
1141,,He made a very remarkable discovery.,A very remarkable discovery was made by him.,
1142,,His own brother betrayed him.,He was betrayed by his own brother.,
1143,,I have sold my old car.,My old car has been sold.,
1144,,They opened the store only last month.,The store was opened only last month.,
1145,,We do not permit smoking in the kitchen.,Smoking in the kitchen isn’t permitted.,
1146,,The cat chased the mouse.,The mouse was chased by the cat.,
1147,,Your behavior disgusts me.,I am disgusted by your behavior.,
1148,,The cat drank all the milk.,All the milk was drunk by the cat.,
1149,,A stone struck me on the head,I was struck by a stone on the forehead.,
1150,,The woodcutter felled the trees.,The trees were felled by the wood cutter.,
1151,,The master praised the boy.,The boy was praised by the master.,
1152,,The police arrested the thief.,The thief was arrested by the police.,
1153,,The boys were making kites.,Kites were being made by the boys.,
1154,,He has written a novel.,A novel has been written by him.,
1155,,We will conquer the enemy.,The enemy will be conquered by us.,
1156,,Your manners irritate me.,I am irritated by your manners.,
1157,,My cousin has drawn a beautiful picture.,A beautiful picture has been drawn by my cousin.,
1158,,Somebody has put out the light.,The light has been put out by somebody.,
1159,,Somebody has picked my pocket.,My pocket has been picked by somebody.,
1160,,John loves Alice.,Alice is loved by John.,
1161,,Who did this?,By whom was this done?,
1162,,The police have arrested the thieves. ,The thieves have been arrested by the police.,
1163,,The marvelous performance delivered by the children enthralled us.,We were enthralled by the marvelous performance delivered by the children.,
1164,,They have invited him to their party.,He has been invited to their party.,
1165,,We have shipped your order.,Your order has been shipped by us.,
1166,,The girl recited the poem beautifully.,The poem was beautifully recited by the girl.,
1167,,The guests enjoyed the party.,The party was enjoyed by the guests.,
1168,,The child impressed everyone with his polite manners.,Everyone was impressed with the polite manners of the child.,
1169,,A girl from Chennai won the first prize.,The first prize was won by a girl from Chennai.,
1170,,The readers like the latest book of the writer. ,The latest book of the writer is liked by the readers.,
1171,,They are painting the walls.,The walls are being painted by them.,
1172,,The car mechanic has fixed the car.,The car has been fixed by the mechanic.,
1173,,They speak English here.,English is spoken here.,
1174,,He speaks English.,English is spoken by him.,
1175,,I am learning my lessons.,My lessons are being learnt by me.,
1176,,You are making a cake.,A cake is being made by you.,
1177,,I have written a novel.,A novel has been written by me.,
1178,,She has finished the job.,The job has been finished by her.,
1179,,You have written letters.,Letters have been written by you.,
1180,,I wrote a letter.,A letter was written by me.,
1181,,Ram broke a glass.,A glass was broken by Ram.,
1182,,You missed the chance.,The chance was missed by you.,
1183,,I was learning my lessons.,My lessons were being learnt by me.,
1184,,She was writing a report.,A report was being written by her.,
1185,,They were making toys.,Toys were being made by them.,
1186,,I had finished the project.,The project had been finished by me.,
1187,,She had learned her lessons.,Her lessons had been learned by her.,
1188,,I will finish the job.,The job will be finished by me.,
1189,,She will solve the problem.,The problem will be solved by her.,
1190,,I will have finished the job.,The job will have been finished by me.,
1191,,She will have solved the problem.,The problem will have been solved by her.,
1192,,She accepted their invitation with pleasure.,Their invitation was accepted (by her) with pleasure.,
1193,https://prowritingaid.com/art/711/Changing-Passive-Voice-to-Active-Voice.aspx,Joe hit Fred.,Fred was hit by Joe.,
1194,,The quick brown fox bit the lazy dog.,The lazy dog was bitten by the quick brown fox.,
1195,,The shopping cart hit Harry.,Harry was hit by the runaway shopping cart.,
1196,,Thieves robbed the bank.,The bank was robbed by the thieves.,
1197,,Officer MacDonald asked the bartender if he had seen the missing girl.,The bartender was asked by Officer MacDonald if he had seen the missing girl.,
1198,,The librarian put the book back onto the shelf.,The book was put back onto the shelf by the librarian.,
1199,,The bus driver dropped off the students in front of the museum.,The students were dropped off by the bus driver in front of the museum.,
1200,http://myidealist.co/active-voice-and-passive-voice-examples/active-voice-and-passive-voice-examples-active-voice-examples-in-literature-active-voice-passive-voice-examples/,He breaks a chair.,A chair is broken by him.,
1201,,He broke a chair,A chair was broken by him,
1202,,He will breaka chair,A chair will be broken by him,
1203,,He was breaking a chair,A chair is being broken by him,
1204,,He has broken a chair,A chair has been broken by him,
1205,,He had broken a chair,A chair had been broken by him,
1206,,He will have broken a chair,A chair will have been broken by him,
1207,,Do not disturb the water,Let the water not be disturbed,
1208,,Someone has stolen my scale,My scale has been stolen,
1209,,Sanjay breaks a record.,A record is broken by Sanjay.,
1210,,He will give you a beautiful.,You will be given a beautifi.ll gift by him.,
1211,,I have sent him a message.,A message has been sent to him by me.,
1212,,We left her a note.,A note was left for her by us.,
1213,,You will be given a good advice by him.,A good advice will be given to you by him.,
1214,,The Principal refused him admission.,Admission was refused to him by the Principal.,
1215,,The Inspector asked me a question.,I was asked a question by the Inspector.,
1216,,She rejects the proposal.,The proposal is rejected by her.,
1217,,The teacher announces the result.,The result is announced by the teacher.,
1218,,He protects me.,I am protected by him.,
1219,,We ignore them.,They are ignored by us.,
1220,,He hit a child.,A child was hit by him.,
1221,,The president insulted employees.,Employees were insulted by the president.,
1222,,My sister packed the gift.,The gift was packed by my sister.,
1223,,I shall take the test next week.,The test will be taken by me next week.,
1224,,They make cars in Germany.,Cars are made in Germany.,
1225,,Mother is baking a cake.,A cake is being baked by mother.,
1226,,They were watching TV when I got home.,TV was being watched when I got home.,
1227,,I have cleaned my room. ,My room has been cleaned.,
1228,,They will write a test paper tomorrow.,A test paper will be written by them tomorrow.,
1229,,He is going to make a speech next week.,A speech is going to be made by him.,
1230,,Thomas had read the book before he saw the flim.,The book had been read by Thomas before he saw the flim.,
1231,,The coast guard rescued the men.,The men were rescued by the coast guard.,
1232,,Girl was click Selfie.,Selfie was being clicked by girl.,
1233,,The cat kills the mice.,The mice are killed by the cat.,
1234,,"Once a week, Tom clears the car.","Once a week, the car is cleaned by Tom.",
1235,,Liz played the piano. ,The piano was played by Liz,
1236,,The car hit the dog.,The dog was hit by the car.,
1237,,The construction crew will build the house in five months.,The house will be built by the construction crew in five months.,
1238,,Julie answered the question.,The question was answered by Julie.,
1239,,The dolphins had learned many tricks.,Many tricks had been learned by the dolphins.,
1240,https://www.englisch-hilfen.de/en/complex_tests/passive1/index.php,The people elected the president.,The president was elected by the people.,
1241,,The teacher completes the exercise.,The exercise is completed by the teacher.,
1242,,Alexander Graham Bell invented the telephone.,The telephone was invented by Alexander Graham Bell.,
1243,,A car hit the child.,The child was hit by a car.,
1244,,Ron and Peggy founded the club.,The club was founded by Ron and Peggy.,
1245,,The mechanic repairs cars.,Cars are repaired.,
1246,,My friend bought a new car.,A new car was bought.,
1247,,They understand Spanish.,Spanish is understood.,
1248,,The teacher closes the window.,The window is closed.,
1249,,The girls can play handball.,Handball can be played.,
1250,,The electricians test the fire alarm.,The fire alarm is tested.,
1251,,Levi Strauss invented the blue jeans.,The blue jeans were invented.,
1252,,Rick told Sue to give up smoking.,Sue was told to give up smoking.,
1253,,We must write to her.,She must be written to.,
1254,,The lady gave me the keys.,I was given the keys.,
1255,,Who said it?,It was said by whom?,
1256,,Snow covered the mountains.,The mountains were covered with snow.,
1257,,An Irishman wrote this book.,This book was written by an Irishman.,
1258,,John cleaned the bathroom.,The bathroom was cleaned.,
1259,,Julia rescued three cats.,Three cats were rescued by Julia.,
1260,,The students handed in the reports.,The reports were handed in by the students.,
1261,,Maria crashed into the blue car.,The blue car was crashed into by Maria.,
1262,,Alex learned the poem.,The poem was learned by Alex.,
1263,,Steven has forgotten the book.,The book has been forgotten by Steven.,
1264,,The technician has not repaired the DVD recorder.,The DVD recorder has not been repaired by the technician.,
1265,,They play handball.,Handball is played.,
1266,,Sue puts the rucksack on the floor.,The rucksack is put on the floor by Sue.,
1267,,The girls had lost the match.,The match had been lost by the girls.,
1268,,The teacher is not going to open the window.,The window is not going to be opened by the teacher.,
1269,,A house was built.,A house was built by Frank.,
1270,,She bought four apples.,Four apples were bought by her.,
1271,,We won the match.,The match was won.,
1272,,The man stole the blue car.,The blue car was stolen.,
1273,,The police arrested the thieves.,The thieves were arrested.,
1274,,Jack swam the 200 metres.,The 200 metres were swum.,
1275,,The dog bit the old lady.,The old lady was bitten.,
1276,,Tom and Max ate five hamburgers.,Five hamburgers were eaten.,
1277,,Oliver taught the children.,The children were taught.,
1278,,Victoria rode the brown horse.,The brown horse was ridden.,
1279,,Grandmother told good stories.,Good stories were told.,
1280,,Mr Jones watches films.,Films are watched.,
1281,,The people speak English.,English is spoken.,
1282,,He reads comics.,Comics are read.,
1283,,We play volleyball.,Volleyball is played.,
1284,,They sing the song.,The song is sung.,
1285,,I take photos.,Photos are taken.,
1286,,She does the housework.,The housework is done.,
1287,,The policemen help the children.,The children are helped.,
1288,,He writes poems.,Poems are written.,
1289,,Mother waters the flowers.,The flowers are watered.,
1290,,They don't speak English in this shop.,English is not spoken in this shop.,
1291,,Kevin asked Dennis a question.,Dennis was asked a question by Kevin.,
1292,,Somebody built the house last year.,The house was built last year.,
1293,,She gives him a box.,He is given a box.,
1294,,Max will look after him.,He will be looked after by Max.,
1295,,The waiter brought Fred a big steak.,A big steak was brought to Fred.,
1296,,Somebody broke into our bungalow last Friday.,Our bungalow was broken into last Friday.,
1297,,The teacher told us a joke.,We were told a joke by the teacher.,
1298,,They will meet Doris at the station.,Doris will be met at the station.,
1299,,Michael has not sent me the file.,I have not been sent the file by Michael.,
1300,,Mr Brown built the house.,The house was built by Mr Brown.,
1301,,Someone stole my bike.,My bike was stolen.,
1302,,Peter can build a house.,A house can be built by Peter.,
1303,,Tom is going to build a house in summer.,A house is going to be built in summer by Tom.,
1304,,The professor gave the students the books.,The students were given the books.,
1305,,The professor gave them the books.,They were given the books.,
1306,,People say that children are afraid of ghosts.,Children are said to be afraid of ghosts.,
1307,,Someone broke into the pet shop. ,The pet shop was broken into.,
1308,,They looked for the baby.,The baby was looked for.,
1309,,Someone shouts at the man.,The man is shouted at.,
1310,,They listen to the music.,Music is listened to.,
1311,,Peter writes letters.,Letters are written by Peter.,
1312,https://www.learnenglishfeelgood.com/esl-passive-voice-exercise2.html#,They were interviewing her for the job. ,She was being interviewed for the job.,
1313,,Tom is writing the letter. ,The letter is being written by Tom.,
1314,,Everyone understands English. ,English is understood by everyone.,
1315,,The employees brought up this issue during the meeting. ,This issue was brought up by the employees during the meeting.,
1316,,The professor told him not to talk in class. ,He was told by the professor not to talk in class. ,
1317,,They say that women are smarter than men. ,Women are said to be smarter than men.,
1318,,The fire has destroyed the house. ,The house has been destroyed by the fire. ,
1319,,She would have told you. ,You would have been told by her. ,
1320,,She would reject the offer. ,The offer would be rejected by her.,
1321,,They passed me up for that position.,I was passed up for that position.,
1322,,"By tomorrow, I will have bought the car.","By tomorrow, the car will have been bought by me.",
1323,,John bought the Picasso painting.,The Picasso painting was bought by John.,
1324,,Most students misunderstand this story.,This story is misunderstood by most students.,
1325,,My brother carried the groceries into the room.,The groceries were carried by my brother into the room. ,
1326,,Juan is preparing the enchiladas. ,The enchiladas are being prepared by Juan.,
1327,,His brother was telling him to calm down. ,He was being told to calm down by his brother. ,
1328,,A dog bit me. ,I was bitten by a dog. ,
1329,,The movers have delivered the furniture.,The furniture has been delivered by the movers.,
1330,,This city will surprise you.,You will be surprised by this city.,
1331,,This surprises me. ,I am surpeised by this.,
1332,,Thomas washes the dishes.   ,The dishes are washed by Thomas. ,
1333,,Frank feeds the dogs.   ,The dogs are fed by Frank.,
1334,,Maria prepares the food.   ,The food is prepared by Maria.,
1335,,David cleans the kitchen.   ,The kitchen is cleaned by David.,
1336,,My father pays the bills.   ,The bills are paid by my father.,
1337,,The gardener trims the bushes.   ,The bushes are trimmed by the gardener.,
1338,,Helen sets the table.   ,The table is set by Helen.,
1339,,My mother waters the plants.   ,The plants are watered by my mother.,
1340,,Arthur does the laundry. ,The laundry is done by Arthur.,
1341,,My uncle drives us to school. ,We are driven to school by my uncle.,
1342,https://www.tolearnenglish.com/cgi2/myexam/voir2r.php?id=93898,Mary was singing a beautiful song.,A beautiful song was being sung by Mary.,
1343,,Jack and Jill had done the work. ,The work had been done by Jack and Jill.,
1344,,Peter is sweeping the floor. ,The floor is being swept by Peter.,
1345,,Someone stole my pen. ,My pen was stolen.,
1346,,People are polluting the environment. ,The environment is being polluted.,
1347,,The maid has cleaned the rooms. ,The rooms have been cleaned by the maid.,
1348,,John and Tom are washing the dirty clothes. ,The dirty clothes are being washed by John and Tom.,
1349,,The cat is chasing the mice. ,The mice are being chased by the cat.,
1350,,Somebody broke the window pane. ,The window pane was broken.,
1351,,I am reading this book as it seems interesting. ,This book is being read by me as it seems interesting.,
1352,,The candidate believes that Congress must place a ceiling on the budget.,It is believed by the candidate that a ceiling must be placed on the budget by Congress.,
1353,,Researchers earlier showed that high stress can cause heart attacks.,It was earlier demonstrated that heart attacks can be caused by high stress.,
1354,,The dog bit the man.,The man was bitten by the dog.,
1355,,The dog chased the ball.,The ball was chased by the dog.,
1356,,The student wrote a song.,A song was written by the student.,
1357,,I conducted a study of elementary school teachers.,A study was conducted of elementary school teachers.,
1358,,The girl was washing the dog.,The dog was being washed by the girl.,
1359,,The police officer arrested the man. ,The man was arrested by the police officer. ,
1360,,The dog chased the cat.,The cat was chased by the dog.,
1361,,Judges must explain the reasons behind their decisions.,The reasons behind their decisions must be explained by judges.,
1362,,The student wrote the essay.,The essay was written by the student.,
1363,,The teacher graded the tests.,The tests were graded by the teacher.,
1364,,The lab assistant conducts the experiment. ,The experiment is conducted by the lab assistant.,
1365,,Julie tripped the professor.,The professor was tripped by Julie. ,
1366,,My teacher always gives difficult assignments.,Difficult assignments are always given by my teacher.,
1367,,I inserted the glass tubing into the rubber stopper.,The glass tubing was inserted into the rubber stopper.,
1368,,The company polluted the lake.,The lake was polluted by the company.,
1369,,We proposed new regulations.,New regulations were proposed.,
1370,,You must include the following information in your application.,The following information must be included in the application for it to be considered complete.,
1371,,We will withhold your bond if you don’t comply with all permit terms and conditions.,Bonds will be withheld in cases of non-compliance with all permits and conditions.,
1372,,Our state office must approve your permit.,The permit must be approved by the agency’s state office.,
1373,,The cat was chasing the mouse.,The mouse was being chased by the cat.,
1374,http://www.weblearn.in/active_passive/,God loves all men. ,All men are loved by God.,
1375,,Birds build nests.,Nests are built by birds.,
1376,,Dog eats bones. ,Bones are eaten by dog.,
1377,,Who did this work?,By whom was this work done?,
1378,,Open the window.,Let the window be opened.,
1379,,He is writing a letter.,A letter is being written by him.,
1380,,The work will be finished by me.,I will finish the work.,
1381,,Somebody cleaned the room yesterday.,The room was cleaned yesterday.,
1382,,We must keep the rule,The rule must be kept by us,
1383,,You bought a book,A book have been bought by you,
1384,,He closed the window,The window was closed by him,
1385,,She was writing letters,Letters were being written by her,
1386,,I had posted a letter,A letter had been posted by me,
1387,,I do not drink tea,Tea is not drunk by me,
1388,,She does not eat a mango,A mango is not eaten by her,
1389,,He will have finished his work,The work will have been finished by him,
1390,,They are digging a well,A well is being dug by them,
1391,,Help me,Let me be helped,
1392,,Sing a song,Let a song be sing,
1393,,Open the door,Let the door be opened,
1394,,Don’t eat this fruit,Let not this fruit be eaten,
1395,,Are you writing a letter?,Is a letter being written by you?,
1396,,Is she beating the child?,Is the child beaten by her?,
1397,,Will you accept the position?,Will the position be accepted by you?,
1398,,Who broke the window?,By whom was the window broken?,
1399,,Why did you write such a letter?,Why was such a letter written by you?,
1400,,Where can you hide this box?,Where can this box be hidden by you?,
1401,,She brought me a cup of coffee. ,A cup of coffee was brought to me by her.,
1402,,The teacher teaches us grammar. ,We are taught grammar by the teacher.,
1403,,They made him king.,He was made king by them.,
1404,,I want to shoot the tiger.,I want the tiger to be shoot.,
1405,,I remember my father taking me to the theatre.,I remember being taken to the theatre by my father.,
1406,,The police finally arrested the thief,The thief was finally arrested,
1407,,The teacher taught us grammar,We were taught grammar,
1408,,Somebody has stolen my purse,My purse has been stolen,
1409,,The doctor looked after the patients,The patients were looked after,
1410,,They say that might is right.,It is said that might is right.,
1411,,One finds mosquitoes everywhere.,Mosquitoes are found everywhere.,
1412,,He gave us a cheque.,A cheque was given to us.,
1413,https://www.fcusd.org/cms/lib/CA01001934/Centricity/Domain/1250/Active%20Passive%20Voice.pdf,The dog jumped onto the boy.,The boy was jumped on by the dog. ,
1414,,Kristy will give a book report to the class.,"A book report will be given by Kristy to the
class.",
1415,,The computer ate my paper.,My paper was eaten by the computer.,
1416,, The waiter dropped the tray of food.,The tray of food was dropped by the waiter.,
1417,,My bicycle was repainted by John.,My bicycle was repainted. ,
1418,,John baked the bread.,The bread was baked by John.,
1419,,The children ate the cookies.,The cookies were eaten by the children.,
1420,,The gophers dug the tunnels.,The tunnels are dug by the gophers.,
1421,http://www.sdc.uwo.ca/writing/undergrads/handouts_new/Active%20and%20Passive%20Voice.pdf,The researcher analyzed ten samples., Ten samples were analyzed by the researcher.,
1422,,Management expects the staff to follow the rules.,It is expected by Management that the rules will be followed by the staff.,
1423,,Elvis has left the building.,The building has been left by Elvis.,
1424,,The audience applauded the speaker’s sentiments.,The sentiments of the speaker were applauded.,
1425,,Atticus proved that the accused did not commit the crime.,It was proven by Atticus that the crime was not committed by the accused.,
1426,,The archeological team will excavate the site as soon as the municipality grants permission.,The site will be excavated as soon as permission is granted by the municipality.,
1427,,The speech bored me.,I was bored by the speech.,
1428,,What you said interested me?,I was interested by what you said?,
1429,,Robin started the group project.,The group project was started by Robin.,
1430,,I picked that flower.,That flower was picked by me. ,
1431,,She contracted measles and became blind in 1888.,Measles was contracted by her and she became blind in 1888.,
1432,,Robin starts the project. ,The project is started.,
1433,,Robin is starting the project. ,The project is being started.,
1434,,Robin has started the project. ,The project has been started.,
1435,,Robin started the project. ,The project was started.,
1436,,Robin was starting the project. ,The project was being started.,
1437,,Robin had started the project. ,The project had been started.,
1438,,Robin will start the project. ,The project will be started.,
1439,,Robin will be starting the project. ,The project will be being started.,
1440,,Robin will have started the project.,The project will have been started.,
1441,https://hithaldia.in/faculty/sas_faculty/Ms_Gargi_Jana/1_Class%20note%20HU101%20(Module%20-1%20%20Grammar%20-Voice%20and%20Narration).pdf,Agatha Christie wrote the book. ,The book was written by Agatha Christie. ,
1442,,"Once a week, Tom cleans the house.","Once a week, the house is cleaned by Tom.",
1443,,The waiter carries the trays. ,The trays are carried by the waiter. ,
1444,,Dad drove us home. ,We were driven home by Dad.,
1445,,He caught the ball. ,The ball was caught by him. ,
1446,,The waves are washing away the sandcastle.,The Sandcastle is being washed away by the waves. ,
1447,,She is working on the computer. ,The computer is being worked upon by her. ,
1448,,Jimmy was making our costumes. ,Our costumes were being made by Jimmy.,
1449,,She was reading a book.,The book was being read by her. ,
1450,,The choir will sing the next hymn. ,The next hymn will be sung by the choir.,
1451,,We will celebrate her birthday. ,Her birthday will be celebrated by us. ,
1452,,Ali has scored two goals. ,Two goals have been scored by Ali. ,
1453,,I have seen that movie. ,That movie has been seen by me.,
1454,,The hunter had caught a fox. ,A fox had been caught by the hunter.,
1455,,Sheila had given a gift to Rina. ,A gift had been given to Rina by Sheila.,
1456,,Do you speak French?,Is French spoken by you?,
1457,,Does she speak French? ,Is French spoken by her?,
1458,,Does she do her duties? ,Are her duties done by her?,
1459,,Did you speak in French with her? ,Was she spoken in French by you?,
1460,,Don’t you speak French? ,Isn’t French spoken by you?,
1461,,I don’t speak French. ,French is not spoken by me.,
1462,,Who took the book? ,By whom was the book taken?,
1463,,How was the experiment finished? ,How did you finish the experiment?,
1464,,How do you write that word? ,How is that word written by you?,
1465,,Can you play a violin?,Can a violin be played by you?,
1466,,Pick up the box.,Let the box be picked up.,
1467,,Bring it home.,Let it be brought home.,
1468,,Do it at once.,Let it be done once again.,
1469,,"Be patient, please!",You are requested to be patient.,
1470,,Be in the queue.,You are requested to be in the queue.,
1471,,Don’t let the door open.,Let not the door be opened.,
1472,,Do not beat the dog.,Let the dog not be beaten.,
1473,,Don’t touch it.,Let it not be touched.,
1474,,May God bless you!, May you be blessed by God!,
1475,,Please lend me some money. ,You are requested to lend me some money.,
1476,,Get me a glass of water. ,You are ordered to get me a glass of water.,
1477,,You ought to respect your parents.,Your parents ought to be respected by you.,
1478,,You should learn your lessons. ,Your lessons should be learned by you.,
1479,,Rick gave me this book.,I was given this book by Rick.,
1480,,Someone offered her a second-hand bicycle.,She was offered a second-hand bicycle.,
1481,,Children often look up to strict teachers.,Strict teacher are often looked up to by children.,
1482,, People have come to recognize him as one of the best surgeons in the country.,He has come to be recognized as one of the best surgeons in the country.,
1483,http://educationwithfun.com/course/view.php?id=27&section=3,I see a clear sky. ,A clear sky is seen by me.,
1484,,Sam kills a snake.,A snake is killed by Sam.,
1485,,Tom caught the burglar.,The burglar was caught by Tom.,
1486,,Piyush beat Jimmy.,Jimmy was beaten by Piyush.,
1487,,Your mom will forgive you.,You will be forgiven by your mom.,
1488,,Ria will never help Tia.,Tia will never be helped by Ria.,
1489,,She gave me a bouquet.,A bouquet was given to me by her.,
1490,,We gave him a watch.,A watch was given to him by us.,
1491,,He gave me the book.,I was given the book by him.,
1492,,I thought that Mary had kissed John, I thought that John had been kissed by Mary,
1493,,He knew that people had built the church in 1915.,He knew that the church had been built in 1915.,
1494,http://4competitiveenglish.blogspot.com/2018/03/examples-of-active-and-passive-voice.html,Deepak loves his wife.,His wife is loved by Deepak.,
1495,,The cat killed the mouse.,The mouse was killed by the cat.,
1496,,Sita prepared coffee.,Coffee was prepared by Sita.,
1497,,His teacher praises him.,He is praised by his teacher.,
1498,,I will paint your house.,Your house will be painted by me.,
1499,,He will write a letter.,A letter will be written by him.,
1500,,She can ride bike.,Bike can be riden by her.,
1501,,You should take medicine.,Medicine should be taken by you.,
1502,,I do the shopping.,The shopping is done by me.,
1503,,She bought dresses.,Dresses were bought by her.,
1504,,A few well-chosen words convey a great deal of meaning.,A great deal of meaning is conveyed by a few well-chosen words. ,
1505,,A mass of gases wrap around our planet.,Our planet is wrapped in a mass of gases. ,
1506,,The city disposes of waste materials in a variety of ways.,Waste materials are disposed of in a variety of ways. ,
1507,,"The Beatles wrote ""A Hard Day's Night"".",A Hard Day's Night was written by the Beatles. ,
1508,,Spielberg directed the movie ET.,The movie ET was directed by Spielberg. ,
1509,,My father built this house.,This house was built by my father.,
1510,http://www.viennatouristguide.at/Allerlei/Englisch/Grammatik/passive/level3_modal_pdf.pdf,The children can read books.,Books can be read by the children.,
1511,,Susan has to learn geography.,Geography has to be learned by Susan.,
1512,,The dog should bring the bones.,The bones should be brought by it.,
1513,,Tom must open the window.,The window must be opened by him.,
1514,,Poor people can not spend a lot of money.,"Yes, a lot of money can not be spent by poor people.",
1515,,The pupils must answer a lot of questions.,A lot of questions must be answered by the pupils.,
1516,,How can we solve that problem?,How can the problem be solved?,
1517,,You must not touch this button while the experiment is in progress.,This button must not be touched while the experiment is in progress.,
1518,,We should call the police at once after the accident.,The police should be called at once after the accident by us.,
1519,,We must put an end to this quarrel.,This quarrel must be put an end to.,
1520,,You shouldn’t make fun of the poor.,The poor shouldn’t be made fun of.,
1521,,The policeman should do a good job.,A good job should be done by the policeman. ,
1522,,People complain about the noise in the street.,The noise in the street is complained about by the people.,
1523,,Children often don’t pay attention to their parents words.,The parents are often not paid attention to their words.,
1524,,Sometimes the teacher takes advantage of the pupils’ good ideas.,The pupils’ good ideas are sometimes taken advantage of by the teacher.,
1525,,Does somebody look after the child?,Is the child looked after?,
1526,,In some countries people believe that fresh air is bad for sick people.,That fresh air is bad for sick people is believed in some countries.,
1527,,You must not touch this button while the experiment is in progress.,This button must not been touched while the experiment is in progress.,
1528,,We ought to have called the police at once after the accident.,The police ought to have been called at once after the accident by us.,
1529,,Tom must pay the bill.,The bill must be paid by ,
1530,http://www.overkruin.com/wp-content/uploads/2016/08/Active-Passive-Voice.pdf,The girl eats the cookies.,The cookies are eaten by the girl .,
1531,,The boy broke a window.,A window was broken by the boy.,
1532,,They will win all the trophies.,All the trophies will be won by them.,
1533,,He boarded the blue train.,The blue train was boarded by him.,
1534,,We take care of our employees.,Our employees are taken care of by us.,
1535,,They will soon make a decision.,A decision will soon be made by them.,
1536,,Read the book by Tuesday.,The book must be read by Tuesday.,
1537,,They usurped the throne.,The throne was usurped by them.,
1538,,Who wrote the article?,By whom was the article written?,
1539,,He has stolen the money.,The money had been stolen by him.,
1540,,We drove the car.,The car is driven by us.,
1541,,The have not warned Charles. ,Charles has not been warned by them.,
1542,,He was taking all the food from the fridge.,"All the food from the fridge was being
taken by him.",
1543,,The woman cooks the food.,The food is cooked by the woman.,
1544,,The dog bit the man.,The dog was bitten.,
1545,,The cat ate the food.,The food was eaten by the cat.,
1546,,Sally recommended that the student attend the workshop.,The student was recommended by Sally to attend the workshop.,
1547,,Misty closed the door. ,The door was closed by Misty. ,
1548,,The man cut down the tree.,The tree was cut down by the man. ,
1549,,Why did the boy throw the ball?,Why was the ball thrown by the boy?,
1550,,Reed and Williams researched memory scanning.,Research on memory scanning was conducted by Reed and Williams.,
1551,,The experimenter manipulated the independent variable.,The independent variable was manipulated by the experimenter.,
1552,,The boy favored the blue ball.,The blue ball was favored by the boy.,
1553,,The boy admired her. ,She was admired by the boy. ,
1554,,The dog chews a shoe.,The shoe was chewed on by the dog.,
1555,,Joyce spilled the beans.,The beans were spilled by Joyce.,
1556,http://www.mysterycove.ch/game/files/resources/grammar/grammar_active_and_passive_form.pdf,Adam cleaned the kitchen. ,The kitchen was cleaned by Adam.,
1557,,Mary bought a book. ,A book was bought by Mary.,
1558,,I read the message. ,The message is read by me.,
1559,,Someone has opened the window. ,The window has been opened.,
1560,,They are building a house. ,A house is being built.,
1561,,They are building three houses. ,Three houses are being built. ,
1562,,Alan wrote a letter to me.,A letter was written to me by Alan.,
1563,,My colleague has just told me the news.,I have just been told the news by my colleague.,
1564,,Someone showed him how to use the mobile phone.,He was shown how to use the mobile phone. ,
1565,,Nobody understands her. ,She has never been understood. ,
1566,,No one ever says a word. ,A word is never said. ,
1567,,She does the homework.,The homework is done by her.,
1568,,He did the homework.,The homework was done by him.,
1569,,She is doing the homework.,The homework is being done by her.,
1570,,He was doing the homework.,The homework was being done by him.,
1571,,She has done the homework.,The homework has been done by her.,
1572,,He had done the homework.,The homework had been done by him.,
1573,,She will do the homework.,The homework will be done by her.,
1574,,He is going to do the homework.,The homework is going to be done by him.,
1575,,She wants to do the homework.,She wants the homework to be done by her.,
1576,,He can do the homework.,The homework can be done by him.,
1577,,They are building the house.,The house is being built. ,
1578,,"When I have time, I do the filing. ","When I have time, the filing gets done. ",
1579,,The fire destroyed the building.,The building was destroyed by the fire. ,
1580,,William Faulkner won a Pulitzer Prize in 1963.,A Pulitzer Prize was won by William Faulkner in 1963.,
1581,,We expect to complete the project on time.,The project is expected to be completed on time.,
1582,,I believe you deserve an ‘A.’ ,It is believed that you are deserving of an ‘A.’ ,
1583,,I misjudged you. ,You were misjudged. ,
1584,,Poor retail sales forced markdowns of merchandise. ,Merchandise was marked down because of poor retail sales.,
1585,,Someone set off the fire alarm by mistake.,The fire alarm was set off by mistake. ,
1586,,Many people recognize our brand name. ,Our brand name is widely recognized. ,
1587,http://www.allexamreview.com/2017/02/dmrccil-general-english-active-and.html,She will not buy a car.,A car will not be bought by her.,
1588,,You will have started the job.,The job will have been started by you.,
1589,,Will you have started the job?,Will the job have been started by you?,
1590,,She can play a violin.,A violin can be played by her.,
1591,,She cannot play a violin.,A violin cannot be played by her.,
1592,,Can she play a violin?,Can a violin be played by her?,
1593,,I may buy the computer.,The computer may be bought by me.,
1594,,I may not buy the computer.,The computer may not be bought by me.,
1595,,May I buy the computer?,May the computer be bought by me?,
1596,,Guests might play chess.,Chess might be played by guests.,
1597,,Guests might not play chess.,Chess might not be played guests.,
